电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,Column1
白日焰火,3800000,36000,178000,6592,15000,剧情爱情犯罪悬疑,9.1,1241,105,5,255,简介：外表冷艳的吴志贞（桂纶镁 饰）身上散发着熟女的魅力，这对于男人来说是一种致命的诱惑，对于与她曾有过一面之缘的警察张自力（廖凡 饰）来说更是如此。五年前，吴志贞的丈夫梁志军（王学兵 饰）被警方认定死于一桩离奇碎尸案，当时张自力破案后击毙了持枪拒捕的凶手。五年后，又发生了类似的连环案件，并且这些死者都曾与吴志贞相恋，心结未了的张自力主动接近吴志贞，却飞蛾扑火般的爱上了这个女人，两人遭遇重大生活挫折的人逐渐从惺惺相惜到相爱，随着更加亲密的接触，张自力发现了五年前的真相……,
窃听风暴,3484000,28000,191000,11000,15000,剧情悬疑,9.7,2382,136,9,508,简介：1984年的东德，整个社会笼罩在国家安全局的高压统治之下，特工魏斯曼（乌尔利希·穆厄 饰）奉命监听剧作家德莱曼（塞巴斯蒂安·寇治 饰）及其女友演员克里斯蒂娜（玛蒂娜·杰蒂克 饰）的生活，监听过程中，魏斯曼渐渐对这家人的生活产生了兴趣，开始暗中帮助他们。一篇刊登在西德《明 镜》报上的文章引起了特工头目的注意，他们认为这篇文章是德莱曼写的，并逮捕了克里斯蒂娜，希望能够从她口中得出她丈夫的秘密？而审问克里斯蒂娜的正是魏斯曼……,
中国惊奇先生,16719000,304000,590000,84000,197000,剧情奇幻动画,8.9,5898,162,12,1660,简介：电影《中国惊奇先生》改编自权迎升创作的同名青年漫画，讲述道法传人王小二、警花、老警察组成的“驱魔铁三角”组合，侦破各种灵异系列案件的故事。北京某胡同内，常发生下班女子惨遭色狼强暴、碎尸案件。警察牛叔多次调查后断定，此系列案件非人类所为。阴差阳错之下王小二结识了女警花李雪，屌丝道士王小二为追求警花，开始帮助警方侦破各种灵异案件，由此展开了一系列不可思议的事件。,
惊天魔盗团 ,4718000,28000,473000,13000,59000,剧情犯罪悬疑,9.5,2329,124,5,363,简介：不夜赌城拉斯维加斯，豪华的表演大厅内正在进行一场前所未有的魔术表演，由丹尼尔·阿特拉斯、亨莉·里维斯、杰克·怀尔德和梅里特·麦克金尼四位魔术师组成的“四骑士”配合天衣无缝，在众目睽睽之下偷来了某法国银行金库内350万欧元纸币，此举在现场至全世界引起轰动。FBI探员罗德和国际刑警埃尔玛·德雷奉命对四人展开调查，却一无所获。无奈之下，他们只得求助于极具名气的揭露魔术师布莱德利。魔术师、盗贼、FBI探员，光影交错下最精...,
拆弹部队,2448000,36000,167000,4684,8204,剧情惊悚战争,8.9,1125,130,7,198,简介：美军侵入伊拉克后，上士威廉姆斯?詹姆斯（杰瑞米?雷纳 饰）被调入陆军亡命连拆弹组，接替刚在巴格达执行任务中牺牲的同事。拆弹组另两人，负责联络的士官桑波恩和负责掩护的特种兵欧文对意气用事的威廉姆斯相当反感。但在联合国大楼的拆弹行动中，抗拒命令强行拆弹的威廉姆斯却得到上校瑞德的赞赏。在一次仓库拆弹任务中，威廉姆斯认为被用作尸体炸弹的伊拉克小男孩是他在军营认识的卖盗版DVD的贝克汉姆。小贝克汉姆的死让威廉姆斯更为疯狂，竟私离军营单枪匹马入城调查…本片荣获第82届奥斯卡最佳影片等6项大奖。,
全民目击,3116000,51000,99000,12000,23000,剧情犯罪悬疑,9,2319,120,25,588,简介：林泰（孙红雷 饰）是当地名噪一方的富豪，近来正筹备自己人生中的另一件大事，与钟爱多年的女友结婚。不料此时传来噩耗，准新娘被人杀死在公寓的地下停车场，林泰闻讯如雷击顶。警方把怀疑的目光瞄向了他的独女林萌萌（邓家佳 饰），检方提起诉讼后，林泰花重金聘请著名律师周莉（余男 饰）为其女辩护，周莉曾为诸多有名的案件做过代理人，对打赢这场官司信心满满，庭审前，做了大量案头工作。公诉方派出的则是大名鼎鼎的检察官童涛（郭富城 饰），他的公诉犀利坚锐、一语中的。庭审开始后，控辩双方剑拔驽张，火药味十足，但随着审理的进一步...,
红酒烩鸡,413000,7455,42000,1957,6699,喜剧家庭,9.6,908,123,5,253,简介：怀才不遇的编剧的亨利（蒂尔·施威格 饰）本来过着放荡不羁的单身生活，可却被一个相貌可爱古灵精怪的八岁女孩儿玛德莲娜（爱玛·施威格 饰）打破，还自称是他的女儿。半路杀出的“女儿”原来是八年前一夜情的结晶，毫无经验的亨利只能硬着头皮照料这位天降“女儿”。与此同时，亨利接到一桩改编畅销小说的大案子，跟他共同执笔的竟然是旧情人凯萨琳娜（雅斯明·格拉特 饰）。亨利本想趁此良机追回最爱，可是调皮的玛德莲娜夹在中间...,
女王,1130000,4905,49000,1043,11000,剧情传记,9.1,273,103,5,50,简介：1997年，戴安娜王妃车祸身亡，举国悲痛欲绝，但是英国王室人员却对此采取了逃避疏离的态度。这种漠不关心激怒了很多英国民众。民众反王室的情绪相当高涨，紧急形势让王室陷入了严重的危机。但是，英王伊丽沙白并没有出来稳定民心，而是携家人躲到了度假行宫。托尼·布莱尔此时刚出任首相，面对此刻棘手的情势，必须尽快找到平衡各方利益的措施，让王室摆脱信任危机，女王重新修好与国民的关系，而自己也在当中树立权威。,
疯狂约会美丽都,1206000,14000,121000,7958,19000,喜剧动画,9.7,761,80,6,178,简介：查宾是一个孤独的孩子，从小失去双亲的他每天跟苏沙婆婆相依为命。有一天，婆婆看出了查宾单车方面的天分，要把他培养成才，于是风雨不改的陪孩子训练。查宾终于可以参加环法自行车大赛了。然而却因为黑手党要控制赛果而出了意外，查宾和其他两个选手被歹徒挟持到了美丽都。婆婆奋不顾身，带着布鲁诺坐上颠簸的小船，前往搭救她的孙子。在流落他乡的街头，婆婆遇上了美丽都三姐妹，她们一起投入到拯救小查宾的队伍当中。,
床垫里的百万欧元,153000,868,10000,235,4705,剧情喜剧,暂无评分,评分人数不足,82,1,24,简介：一个古板的老太太把一生的积蓄-—一百万欧元都藏到了她的旧床垫下面，可是这个床垫却被不知情的子女们嫌太老旧，扔了。当子女们得知真相后，一石激起千层浪浪，全家开始了轰轰烈烈的找床垫行动。就在这时，子女中经常被哥哥姐姐们称为傻子的小儿子，给电台打了电话，用5万欧元悬赏里面藏有百万欧元的床垫，此时全国的人们都开始疯狂的找这张藏有百万欧元的床垫，古板的老太太也因此受邀参加电视台节目讲述床垫金额的由来。最终，在全国人都积极参与的情况下，老太太一家是否能如愿的寻回床垫呢？,
梅子鸡之味,1520000,14000,88000,4485,6704,剧情喜剧漫画改,9.5,620,91,7,166,简介：因为妻子摔破了自己心爱的小提琴，音乐家纳瑟·阿里决定自杀，绝食八天后他终于死去。在这八天里，躺在床上的他回顾了自己的一生。他想起了自己与弟弟的小时候，想起了自己的女儿和儿子，想起了自己失败的婚姻，想起了母亲临死前的场景。当然，他还想起了自己一生的挚爱——伊兰娜。《梅子鸡之味》改编自导演 玛嘉·莎塔琵的绘本作品。主人公原型是导演的伯父，是伊朗一位著名的音乐家。,
蝴蝶效应3：启示,277000,2552,239000,349,5268,剧情科幻惊悚犯罪,8,218,90,3,55,简介：山姆有着沉重的过去，一场大火让他的家庭支离破碎，妹妹珍妮也由于自己的失误葬生火海。成年后的山姆在偶然间发现自己拥有了能够穿越时空的超能力，他利用自己的能力回到了火灾现场，虽然救出了珍妮，但是本该逃生的父母却死于火灾。一次次的穿越让时间线索变得面目全非，本该死的人活着，本该清白的人却背上的罪名，唯一不变的，是所有亲近他的女性都会惨遭杀害。随着真相的渐渐明朗，一个另山姆意想不到的身影出现在了本不属于他的时空中。,
大魔术师,838000,7173,19000,765,11000,剧情喜剧爱情奇幻,7.1,467,128,0,115,简介：直隶镇守使雷大牛（刘青云 饰）凭借旁门左道的刘昆山（吴刚 饰）大肆招募兵马，不断壮大，外有重兵，内有美眷，加上居心叵测的日本人大力扶持，正是春风得意时。与此同时，京城来了神秘的魔术师张贤（梁朝伟 饰），他凭借令人拍案叫绝、神乎其神的技艺绝倒京城，自然连雷大牛也早有耳闻。殊不知张贤是大牛的七姨太柳荫（周迅 饰）的青梅竹马，当年他外出求学时爱人被大牛掳走，抱憾终身…,
1917,10045000,72000,387000,50000,125000,剧情战争,9.7,13144,119,27,2691,简介：1917年，第一次世界大战进入最激烈之际，两个年轻的英国士兵接到的命令，需立即赶往死亡前线，向那里的将军传达一个“立刻停止进攻”讯息。时间只有八小时，武器弹药有限，无人知晓前方敌况：死亡寂静之地、布满尸体的铁丝网、突如其来的敌军、随时毙命的危险境况…,
奥林匹斯的陷落,2383000,33000,97000,2610,10000,动作,7.6,632,113,3,187,简介：白宫，特情局秘密代号为“奥林匹斯”，目前正处在危机之中，一伙恐怖分子先用重型的飞机和机枪袭击了这里，随后便派入了一群敢死队进入，他们彻底占领了美国总统府，劫持了美国总统，并以此为要挟，妄图控制世界格局。坐在文员办公室的迈克·班宁（杰拉德·巴特勒 饰）从这次袭击中活了下来。班宁原先是一个特种兵，负责第一夫人和美国总统（艾伦·艾克哈特 饰）的安危。但是在一个圣诞节的例行任务中，他的工作出了错，造成了第一夫人的死亡......,
魂断日内瓦,540000,2315,13000,187,843,剧情爱情,暂无评分,评分人数不足,98,0,8,简介：阿丽亚娜（娜塔丽·沃佳诺娃 Natalia Vodianova 饰）出生于家底雄厚的宗教家庭，美丽单纯的她早早就步入了婚姻的殿堂。一次偶然中，阿丽亚娜结识了一位名为索拉尔（乔纳森·莱斯·梅耶斯 Jonathan Rhys Meyers 饰）的英俊男子，后者为当时在政坛上叱咤风云的犹太裔外交官。同样年轻气盛的两人，在一段短暂的相互挖掘和试探的过程之后理所当然的走到了一起，他们之间的爱火燃烧得是这样的猛烈，让他们几乎都失去了理智和自我。然而，随着时间的推移，分歧开始渐渐露出端倪，索拉尔欣赏阿丽亚娜的智慧和思想，但阿丽亚娜似乎仅仅沉溺于同索拉尔的鱼...,
戴珍珠耳环的少女,2742000,17000,161000,5550,21000,剧情爱情传记,9.3,618,99,6,162,简介：少女葛利叶（斯嘉丽?约翰逊 饰）家境贫寒，来到画家维梅尔（科林?费斯 饰）家做女佣。维梅尔和妻子、岳母一起生活，她们常常摆出颐指气使的神情。在非常苛刻和压抑的氛围下，葛利叶在维梅尔家过得卑躬屈膝。维梅尔的画带给了她一点生活的乐趣。她收拾主人画室的时候，流露出了对艺术的天分。她跟维梅尔谈论对画的理解，二人的交心让彼此的情意慢慢滋长。葛利叶知道不可能与维梅尔修得正果，但她愿意做模特奉献给维梅尔作画。她默默地，忍受着维梅尔给她的耳朵打上洞，戴上他妻子的珍珠耳环，画出这一刻的窒息的美丽。,
不二神探,2689000,20000,38000,2203,11000,喜剧动作犯罪,6.9,906,97,0,271,简介：短短几天内，电影明星、舞蹈演员、跳水冠军，三个没有任何关联的知名人士面带微笑意外死亡，在社会上引起不小的轰动。与此同时，擅长搞怪耍宝的热血青年警察王不二（文章 饰）与深藏不露的警队老油条黄飞红（李连杰 饰）搭档破案，惹出不少的乱子，令他们的上司Angela（陈妍希 饰）郁闷不已。某天，地产项目经理王峰（佟大为 饰）微笑死亡，案子交到Angela一组手中。为了尽快扭转警局中的不利局面，Angela、王不二和黄飞红展开全力追查，他们率先从与几名死者都有过交往的女演员刘金水（刘诗诗 饰）入手。而在这一过程中，妖艳鬼魅的戴依依（柳...,
夺命地铁,1537000,18000,32000,1605,7972,剧情惊悚,8.4,326,107,0,119,简介：在莫斯科两站之间的地铁隧道因施工问题产生裂缝，隧道天花板渗漏下来的水滴并未引起足够的重视，结果引发莫斯科河水倒灌，载有数百名乘客的地铁列车陷入洪水之中，不仅令地下隧道面临崩溃，也将毁灭整个城市。安德烈加林和他的女儿捷尼亚医生被困在隧道中。加林医生试图营救乘客，其中包括他妻子的情人。他必须克服怨恨，愤怒和恐惧。除了生存，他还要找回自己的爱情和家庭。,
三个火枪手,602000,11000,38000,1486,6377,爱情动作小说改冒险,8.5,361,110,2,102,简介：在一次行动，三剑客被米莱迪（米拉?乔沃维奇 饰）和白金汉公爵（奥兰多?布鲁姆 饰）背叛暗算，以失败归隐告终乡间。三年后，练就一手好剑术的达达尼昂（罗根?勒曼 饰）初出茅庐，来到巴黎投奔火枪队长特雷维尔（马修?麦克费登 饰），与三剑客不打不相识，意外成为惺惺相惜的好友。不久后大家意外得知权倾朝野的红衣教主黎塞留（克里斯托弗?沃尔兹 饰）想要挑拨英法两国关系，意欲制造一起皇室丑闻。为了抗击红衣教主的邪恶阴谋，众人和敌人展开了斗智斗勇的比拼，达达尼昂更是凭借出色的剑术和足智多谋的头脑在这场争斗中崭露头角….,
