电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
天下第一刀,162000,42,1113,20,277,剧情,暂无评分,评分人数不足,已完结, 全34集,0,3,简介：民国初期，扬州“太液池”浴池的扦脚师萧八腊子因替江南省督军治好了脚疾，被提升为“少校带刀侍卫”。萧八腊子为了查清老丈人“神刀六”的冤案，被大智若愚的督军委任为代县长，阴错阳差误入官场。他扬善惩恶，打击贪官污吏，以草根小人物特有的机智见招拆招，逢凶化吉，和厨师香妹子、美发师飞刀凤联手，相继侦破县城命案、扬州道和盐商勾结的贪渎大案，为江南老百姓除去一大祸害。萧八腊子经飞刀凤介绍参加了救国会，被秘密派遣到“辫子军”，利用“扦脚刀”上的绝活技艺潜伏在敌营，查出隐蔽在江南省的大内奸，立了奇功。萧八腊子回归故乡...,,,,,
一日夫妻百日恩,93000,16,556,12,103,情感剧情家庭,暂无评分,评分人数不足,已完结, 全20集,0,1,简介：有道是居家过日子，哪有马勺不碰锅沿的。偶尔磕磕绊绊，相互礼让过去就得了。正所谓小两口床头吵架床尾合，因缘际会凑在一起，缘分没尽时打也打不散。怕就怕彼此都不让步，各种尴尬与别扭只有当事人才知道。郝坚强（高曙光饰）与肖翘翘（耐安饰）就是这样一对夫妻，唇枪舌战，你来我往，互不让步，终于闹到离婚的田地，可是关键时刻有狠不下心，一来二去便过起了分居生活。郝坚强离开家在外居住，意外迎来了桃花运。肖翘翘虽获得自由，却在巨大的空虚面前分分念及丈夫的好来。只是分好分，合难合，说出去的话泼出去的水，这对已有八年婚事的夫...,,,,,
我的美丽人生,59000,211,419,15,78,剧情家庭,暂无评分,评分人数不足,已完结, 全28集,0,1,简介：农村老太太吴巧保（李明启饰）一生坎坷，丈夫早年工伤身亡，她在城里做保姆，任劳任怨，含辛茹苦将儿子金波（黄海波饰）培养成人。金波大学毕业，成为一名服装设计师，这令巧保无比自豪，也因此对儿媳妇的选择上愈加谨慎和挑剔。种种机缘，让在城里打拼的金波结识了同样来自农村的小保姆王小早（马苏饰）。两人从磕磕绊绊到互相欣赏，慢慢确立了情侣关系。不久，因老雇主的急切召唤，吴巧保匆忙赶到城里，却发现儿子没有找一个城里姑娘为伴，反而和小保姆谈起了恋爱。这令她无论如何都难以接受，于是想方设法阻止儿子这段“荒唐的”爱情……,,,,,
致命名单,180000,226,501,28,165,战争,暂无评分,评分人数不足,已完结, 全26集,0,0,简介：电视剧《致命名单》以一份国民党遗失的暗杀名单所展开，讲述了北原国民党保密局情报站欧阳站长深夜被人刺杀在办公室，一份牵扯到埋伏在延安所有的国民党特务和一个暗杀共产党重要首长的计划名单莫名遗失，引起国共两党高层震动！同时发下最高指令，不惜一切代价得到这份致命名单的故事。林天宇以及林天宇的女儿林雪，郭四海以及郭四海的儿子，徐顺昌等人之间剪不断理还乱的情仇家恨，由名单引发的勾心斗角......,,,,,
终极证据,89000,112,297,32,163,剧情悬疑,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：《终极证据》讲述了一名叫周强的男子坠楼身亡，刑侦大队对此案展开调查，随着案情深入，一件件让队长冯涛等人大感意外的线索逐一出现。死者周强竟是警方卧底，打入犯罪集团的他死因可疑，其妻在事发之日竟然意外出现，而同为卧底的姜南身份相当可疑。究竟是谁杀死了周强，“绝密档案”隐藏着怎样的秘密，关键证物踪迹何在……《终极证据》将以悬念迭出的方式讲述一个突发案件背后的种种疑团。,,,,,
我们的快乐人生,139000,131,283,31,128,剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：在改革开放的十多年间，出身于部队高干家庭的陆永福、陆永红、刘子明和一墙之隔的棚户区子女陈素芬、张美丽、类宝清怀揣着各自的理想和激情，被命运的洪流挟裹到一起。他们中有人在商品经济的大潮中凭借热情和机智虽然总能抓住机会获得暂时性的丰收，但是因为没有正确的目标和缺乏长远的规划，转眼又一无所有，最后几经沉浮，在亲情、爱情的感召下蜕变成长。有的人虽然历经痛苦，但坚持自立自强地创造自己的人生，不仅渡过难关逐渐获得了个人事业的丰收，而且唤醒了浮躁缺乏责任感的爱人，最终带领亲人、朋友在剧烈变革、高速发展的年代一起谱...,,,,,
我在1949等你,61000,107,571,32,176,剧情家庭历史,暂无评分,评分人数不足,已完结, 全24集,0,1,简介：故事发生在解放战争后期，台湾记者林乡（刘恺威饰）在上海结识乔雁清（戴君竹饰），很快陷入热恋之中。这一情景被富家公子唐浩仪（林佑威饰）看在眼里，他妒火中烧。林母病重的消息传到上海，林乡焦急万分，而此时时局动荡不定，乔父答应儿子先在沪成亲，然后携雁清共赴台湾看望母亲。不料，上船前唐浩仪背着雁清将林乡打入黄浦江，毫不知情的雁凊希里胡涂跟杀夫仇人来到台湾，当她知道林乡已死时，万念俱灰决定自杀，却被好心人韩祖光（李运庆饰）机智救下。一晃半个世纪过去了，已成为奶奶爷爷的乔雁清和韩祖光突然看到了林乡的摄影作品展，...,,,,,
死去活来,76000,517,2491,101,3018,剧情喜剧,暂无评分,评分人数不足,85,0,8,简介：改革开放初期，某厂总工程师李青远因大胆改革，使长年亏损的企业扭亏为盈，并将产品打入国际市场，被破格提拔为副市长。市里为他筹备了一个隆重的上任新闻发布会，可他却行色匆匆地赶往火车站...,,,,,,
纸房子,27000,79,573,67,347,悬疑短片,暂无评分,评分人数不足,17,0,6,简介：蒋玲所在的班里转来了一名叫林江的男同学，蒋玲无意中发现林江家里摆着很多纸房子，这些纸房子似乎和真实的房子有着某种可怕的联系。面对古怪的林江，蒋玲下定决心，一定要找出这些纸房子的秘密···,,,,,,
爸爸呀妈妈呀,21000,12,219,18,72,剧情短片,暂无评分,评分人数不足,12,0,1,简介：“等待”似乎是一个永恒的话题，我们总是在期盼着什么，也许是黑夜里的一盏灯、冬日里的一丝暖阳，一个期盼已久的爱。而在这里有一间空房子，住着一对小兄弟，他们互相打闹，相互慰籍，他们在等待着什么？,,,,,,
红鞋子,20000,36,263,4,57,剧情短片,暂无评分,评分人数不足,12,0,1,简介：年少的躁动，对于未知世界强烈的探索欲望，对于异性的好奇。一个阳光明媚的夏日，一段记忆深刻的美好回忆。,,,,,,
抓周,24000,48,696,90,324,剧情短片,暂无评分,评分人数不足,6,0,4,简介：一个富家女孩小雅从出生开始就背负着家族的使命，父母已经为她的人生做好了全部的规划。家人为了实现自己心中的愿望而以“为她好”的名义对她实行道德绑架，小雅出于善良和不忍之心一再牺牲自己的需求成全他人，维系别人需要的生活，最后因为长期压抑自己也变得麻木陷入这种代际传递式的悲剧中。,,,,,,
巡航者,10000,2,345,23,215,短片,暂无评分,评分人数不足,17,0,1,简介：作为一名将死的老人，布什.波兰斯基为自己订制了一口棺材，并希望带着尊严了结自己的生命。然而，他的计划被一个身穿黄雨衣的男孩打乱了，这孩子竟然跑到他的棺材里去玩！ 一段稀奇的友情就此展开，最终，他们二人把棺材做成了一条小船，一起踏上了奇妙的航程......,,,,,,
叙利亚青年,19000,41,487,28,163,剧情短片,暂无评分,评分人数不足,19,0,0,简介：阿里是一名北非青年，在内战中失去了亲人和家园，他偷渡来到巴黎寻找小时候被法国夫妇领养的妹妹，为了能得到更多帮助谎称自己是叙利亚难民，同时为了生存他甘愿为黑帮工作，偶然的机会认识了法国女孩爱丽丝并喜欢上她，爱丽丝同情他的遭遇而帮助他，寻妹妹无果，最终阿里与黑帮决裂，与爱丽丝的情感也无法实现，无奈之下阿里即将踏上新的自我寻找旅程。,,,,,,
小儿难养,104000,9,545,52,259,家庭,暂无评分,评分人数不足,已完结, 全35集,0,2,简介：供职于某世界五百强公司的白领丽人简宁（小宋佳饰）和在机场担任话务员的江心（陈思成饰）是一对八零后小夫妻，对待事业的态度颇有些不同的二人，生活中即将迎来一个新生命。可是这个小家伙不仅牵涉了夫妻大量的精力，还影响左右着他们的工作以及和家人、朋友、同事的人际关系，令这对小夫妻颇为挠头。简宁的妹妹简艾（万茜饰）偶然“拾到”来自韩国的女孩乐乐（岛田瑠那饰），乐乐的父亲严道信（王耀庆饰）正准备展开一段新的婚姻，对于这个意外到来的女儿甚为苦恼，而与乐乐感情渐深的简艾夜身不由己卷入“他人”的家务事中。简艾的闺蜜赵晓...,,,,,
一门三司令,68000,444,187,16,129,,暂无评分,评分人数不足,已完结, 全38集,0,0,简介：抗日战争时期，江东地区杨家三兄弟老大杨天东是八路军蟒山纵队司令，老二杨天伯是江东地区的国军司令，老三是江东地区国军特遣队队长，对外也号称司令。老二率部队驻守江东城，守军司令突遭暗杀，其侍卫长杨天鸿受到牵连，紧接着重庆来的特派员琳娜遭日本特遣队桥本次郎绑架，一系列奇怪的事件把江东搅得乌烟瘴气......,,,,,
真情有多远,42000,45,149,--,107,,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：西安一家制药厂青年女工吴鸿影，面对企业改制，她选择了离别丈夫到深圳“下海”。这位西安下岗女工从一家小酒吧做起，历经风雨，成为叱咤深圳房地产业的女强人。吴鸿影的丈夫王镐京坚守药厂，自强不息，在改革中，被任命为药厂驻深圳销售处经理。他发现，妻子吴鸿影和深圳一家医药公司的董事长沈自中有了恋情。三人由此陷入了情感与道德、婚姻与事业的漩涡。,,,,,
中国地,626000,1214,1044,244,925,,暂无评分,评分人数不足,连载中,0,4,简介：《中国地》讲述了“九一八”事变后，今辽宁省朝阳市清风岭地区一个叫“赵老凿（老嘎头）”的汉子，带领全家、全村民众浴血奋战，后来在中国共产党的领导下，固守清风岭坚持14年之久未让日军占领的抗日传奇故事。他们击退日本大的正面进攻5次，小的战斗不计其数，坚持抗战，誓死不降，使清风岭成为傲然屹立在“满洲”大海中的一个中华孤岛，日本关东军把这片土地称为“中国地” 。,,,,,,
终结杉计划,35000,24,165,11,35,剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：“七七事变”前夕，日军为发动全面侵华战争，启动“杉计划”，日方企图抢劫中央印钞厂的法币印钞模板，用伪造法币来冲击中国经济。潜伏在中国的日本特务刘铁生负责执行这次行动。由于飞机失事，模板在转移过程中坠入黄浦江，要将模板顺利打捞起来，只有黄浦江上的蛙女才能胜任。蛙女长在黄浦江畔，父亲是船民帮会的帮主。刘铁生玩弄阴谋使尽手段，企图通过蛙女夺走江底沉没的法币模板。蛙女为保护模板不落到日寇手中，和刘铁生之间展开了一场你死我活的斗争。印钞模板几经争夺，还是被抢走送上了日军旗舰“出云号”。蛙女和她心爱的男人张冲推...,,,,,
春去春又回,133000,3131,1181,87,285,剧情,暂无评分,评分人数不足,已完结, 全45集,0,5,简介：上海首富余佛影的孙子余创世因失恋，酒后开枪把表妹雷晓冬的恋人、自己的情敌给打死了。而这一切恰巧被沈紫君看到。沈紫君的哥哥沈心池在巡捕房当差，他为了讨好余佛影，便暗示沈紫君修改口供，好为余创世开脱罪责，然而妹妹坚决不从。余创世闻之气急败坏，并与沈紫君结下了冤仇。……,,,,,
